Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to10,Feature log2 fold change topic 8to10
GRCh38_ENSG00000080845,GRCh38_DLGAP4,71,-0.7853,190,0.91776,143,0.31201,125,0.09972,90,-0.4212,82,-0.6932
GRCh38_ENSG00000101335,GRCh38_MYL9,193,0.22263,45,-2.1147,680,2.60629,177,0.09874,193,0.21964,56,-1.9257
GRCh38_ENSG00000101084,GRCh38_RAB5IF,82,-0.8343,140,-0.0039,101,-0.5203,157,0.20154,123,-0.2151,168,0.38752
GRCh38_ENSG00000101079,GRCh38_NDRG3,17,0.06421,14,-0.2530,30,0.93894,12,-0.6127,25,0.65516,14,-0.3056
GRCh38_ENSG00000149636,GRCh38_DSN1,16,0.46868,5,-1.4312,25,1.19012,7,-0.8220,24,1.10913,10,-0.2686
GRCh38_ENSG00000101347,GRCh38_SAMHD1,62,-0.4083,46,-0.9522,185,1.42128,90,0.19735,78,-0.0450,69,-0.2943
GRCh38_ENSG00000118705,GRCh38_RPN2,278,0.69092,108,-0.8901,240,0.44036,97,-1.0655,338,1.02445,187,0.04764
GRCh38_ENSG00000101363,GRCh38_MANBAL,43,-0.4343,36,-0.7495,86,0.68507,58,0.03069,70,0.34596,60,0.10719
GRCh38_ENSG00000197122,GRCh38_SRC,19,-0.1403,17,-0.3690,22,0.08309,12,-0.9442,24,0.19045,29,0.71773
GRCh38_ENSG00000166619,GRCh38_BLCAP,61,-0.4823,62,-0.5000,64,-0.4031,90,0.14576,117,0.55460,94,0.27601
GRCh38_ENSG00000132792,GRCh38_CTNNBL1,28,-0.1979,22,-0.6300,35,0.15853,32,-0.0242,42,0.43703,36,0.22803
GRCh38_ENSG00000101407,GRCh38_TTI1,15,0.37558,6,-1.1787,20,0.85166,7,-0.9144,22,1.00687,12,0.05392
GRCh38_ENSG00000101413,GRCh38_RPRD1B,18,-0.4504,22,-0.2029,13,-0.9967,20,-0.3761,36,0.60872,32,0.56017
GRCh38_ENSG00000198959,GRCh38_TGM2,57,0.40065,17,-1.5323,137,2.00494,36,-0.3598,80,0.98212,20,-1.3835
GRCh38_ENSG00000196756,GRCh38_SNHG17,32,0.10122,17,-0.9314,10,-1.6062,16,-1.0542,48,0.77117,48,1.08118
GRCh38_ENSG00000170471,GRCh38_RALGAPB,14,-1.0336,33,0.28327,21,-0.4392,27,-0.0492,37,0.42768,30,0.10095
GRCh38_ENSG00000204103,GRCh38_MAFB,51,-1.2005,100,-0.1965,276,1.56397,139,0.41064,32,-1.8935,92,-0.3698
GRCh38_ENSG00000198900,GRCh38_TOP1,60,-0.6039,106,0.31755,87,-0.0276,111,0.40769,75,-0.2760,78,-0.2646
GRCh38_ENSG00000124181,GRCh38_PLCG1,28,0.30243,21,-0.2188,49,1.23470,20,-0.2500,24,0.03733,17,-0.6092
GRCh38_ENSG00000174306,GRCh38_ZHX3,12,-0.2031,12,-0.1525,14,0.10520,18,0.51527,8,-0.8711,14,0.00744
GRCh38_ENSG00000132793,GRCh38_LPIN3,15,0.39251,12,0.11034,8,-0.5462,1,-3.1383,11,-0.0455,18,1.01824
GRCh38_ENSG00000124193,GRCh38_SRSF6,76,0.01468,54,-0.5756,131,0.92120,62,-0.3481,80,0.08690,78,0.08071
GRCh38_ENSG00000101057,GRCh38_MYBL2,7,-1.0635,3,-2.1437,7,-0.9872,23,0.98217,42,1.93391,10,-0.6520
GRCh38_ENSG00000132823,GRCh38_OSER1,23,-0.8491,59,0.74315,61,0.67995,28,-0.6176,38,-0.0773,35,-0.2836
GRCh38_ENSG00000124120,GRCh38_TTPAL,22,-0.6628,33,-0.0707,16,-1.1099,40,0.28904,27,-0.3467,43,0.50911
GRCh38_ENSG00000132824,GRCh38_SERINC3,82,-0.6129,123,0.01834,129,0.09869,154,0.43674,138,0.20130,104,-0.3032
GRCh38_ENSG00000168734,GRCh38_PKIG,45,0.86093,9,-1.6863,82,2.00446,21,-0.3786,49,1.02653,9,-1.8568
GRCh38_ENSG00000196839,GRCh38_ADA,34,0.15457,19,-0.7904,28,-0.1494,17,-0.9829,29,-0.0693,48,1.01751
GRCh38_ENSG00000166913,GRCh38_YWHAB,173,-0.3808,181,-0.3489,277,0.37257,263,0.32604,301,0.50812,188,-0.3132
GRCh38_ENSG00000025772,GRCh38_TOMM34,17,0.49501,11,-0.1803,9,-0.3830,5,-1.4670,23,1.03008,14,0.24925
GRCh38_ENSG00000101109,GRCh38_STK4,30,0.11934,32,0.25608,28,-0.0023,43,0.82533,27,-0.0320,14,-1.1966
GRCh38_ENSG00000175121,GRCh38_WFDC5,14,-2.4472,191,2.18885,19,-1.9890,84,0.29553,9,-3.0692,41,-1.0420
GRCh38_ENSG00000168703,GRCh38_WFDC12,72,-2.6658,1505,3.34195,178,-1.3263,317,-0.4869,25,-4.1948,92,-2.6041
GRCh38_ENSG00000124102,GRCh38_PI3,1002,-2.0803,11930,2.64207,1751,-1.2465,2217,-0.9682,820,-2.3753,2426,-0.9079
GRCh38_ENSG00000124107,GRCh38_SLPI,940,-1.5735,5863,1.70223,1454,-0.9153,2496,-0.0827,1203,-1.2036,1941,-0.5802
GRCh38_ENSG00000124145,GRCh38_SDC4,66,-0.6604,84,-0.3178,60,-0.8055,83,-0.3436,216,1.29693,110,0.19057
GRCh38_ENSG00000204070,GRCh38_SYS1,7,-1.2657,16,0.07313,21,0.52460,11,-0.5884,27,0.93149,15,-0.0528
GRCh38_ENSG00000244274,GRCh38_DBNDD2,12,-0.5180,10,-0.9085,41,1.53074,11,-0.6923,16,-0.0193,19,0.23110
GRCh38_ENSG00000124155,GRCh38_PIGT,104,0.12744,71,-0.5107,91,-0.0817,84,-0.2352,176,1.01608,92,-0.0776
GRCh38_ENSG00000101457,GRCh38_DNTTIP1,33,0.28691,25,-0.2211,20,-0.4892,16,-0.9023,48,0.88503,32,0.28117
GRCh38_ENSG00000175063,GRCh38_UBE2C,7,-1.0567,5,-1.5460,1,-3.5024,15,0.19960,56,2.57164,11,-0.4415
GRCh38_ENSG00000124104,GRCh38_SNX21,14,-0.5882,31,0.69506,39,1.00362,22,0.06296,13,-0.7091,13,-0.8680
GRCh38_ENSG00000101473,GRCh38_ACOT8,18,-0.0177,18,0.00524,27,0.61698,11,-0.7880,25,0.51984,18,-0.0621
GRCh38_ENSG00000064601,GRCh38_CTSA,186,-0.2767,275,0.40482,401,0.99152,121,-1.0159,170,-0.4119,221,-0.0050
GRCh38_ENSG00000100979,GRCh38_PLTP,67,0.06438,37,-0.9517,166,1.63304,43,-0.7036,76,0.26050,59,-0.1789
GRCh38_ENSG00000100982,GRCh38_PCIF1,21,-0.2229,17,-0.6077,35,0.56094,13,-1.0596,31,0.37886,33,0.62529
GRCh38_ENSG00000198026,GRCh38_ZNF335,27,0.00573,27,-0.0187,33,0.29759,10,-1.6572,30,0.13305,36,0.63446
GRCh38_ENSG00000100985,GRCh38_MMP9,36,-1.4927,81,-0.3114,301,2.02614,66,-0.6390,126,0.43381,68,-0.6549
GRCh38_ENSG00000124160,GRCh38_NCOA5,20,0.48741,12,-0.3179,9,-0.7910,9,-0.7535,19,0.40366,19,0.51944
GRCh38_ENSG00000101017,GRCh38_CD40,31,0.94291,6,-1.7800,50,1.85099,9,-1.0122,22,0.39779,13,-0.5043
GRCh38_ENSG00000080189,GRCh38_SLC35C2,53,0.06340,21,-1.4499,76,0.66024,45,-0.2123,53,0.08436,64,0.51548
GRCh38_ENSG00000062598,GRCh38_ELMO2,22,0.80517,14,0.09918,14,0.06283,7,-1.0058,15,0.15751,13,0.00841
GRCh38_ENSG00000172315,GRCh38_TP53RK,12,-0.2968,13,-0.2021,15,0.05411,13,-0.1935,22,0.72057,14,0.00653
GRCh38_ENSG00000101040,GRCh38_ZMYND8,5,-1.4330,12,-0.2564,14,0.06449,22,0.91197,8,-0.7522,14,0.01040
GRCh38_ENSG00000124151,GRCh38_NCOA3,25,-0.5493,27,-0.5186,48,0.45363,60,0.99366,17,-1.1010,32,-0.2332
GRCh38_ENSG00000196562,GRCh38_SULF2,166,-0.2377,102,-1.0711,227,0.26894,117,-0.8438,208,0.12871,295,0.98469
