Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4to6,Feature log2 fold change topic 4to6,Feature count topic 7to10,Feature log2 fold change topic 7to10
GRCh38_ENSG00000143033,GRCh38_MTF2,18,0.16100,11,-0.5967,18,0.22952,17,0.07899
GRCh38_ENSG00000117500,GRCh38_TMED5,52,0.31584,31,-0.5447,51,0.36674,40,-0.1441
GRCh38_ENSG00000223745,GRCh38_CCDC18-AS1,18,0.45934,11,-0.3019,13,-0.0423,13,0.03003
GRCh38_ENSG00000117505,GRCh38_DR1,34,-1.1052,52,-0.5270,82,0.33147,79,0.31123
GRCh38_ENSG00000137936,GRCh38_BCAR3,26,-0.3483,23,-0.6060,29,-0.2363,42,0.65362
GRCh38_ENSG00000067334,GRCh38_DNTTIP2,24,-0.7345,23,-0.8604,39,0.05460,49,0.63325
GRCh38_ENSG00000117528,GRCh38_ABCD3,12,-0.6697,14,-0.4266,27,0.89020,15,-0.4029
GRCh38_ENSG00000117525,GRCh38_F3,139,-0.5606,153,-0.4639,152,-0.5273,273,0.85876
GRCh38_ENSG00000117519,GRCh38_CNN3,52,0.11908,20,-1.4826,86,1.38535,34,-0.7633
GRCh38_ENSG00000117569,GRCh38_PTBP2,17,0.27636,8,-0.8101,16,0.35062,14,0.01941
GRCh38_ENSG00000188641,GRCh38_DPYD,9,-2.2093,35,-0.2085,69,1.33569,27,-0.7844
GRCh38_ENSG00000162688,GRCh38_AGL,11,-0.7225,5,-1.9971,27,1.02172,18,0.07593
GRCh38_ENSG00000156875,GRCh38_MFSD14A,22,0.26626,10,-0.9786,23,0.44668,18,0.00486
GRCh38_ENSG00000137996,GRCh38_RTCA,30,-0.0411,16,-1.0360,29,-0.1359,39,0.66166
GRCh38_ENSG00000162692,GRCh38_VCAM1,38,0.71694,8,-1.7084,49,1.80375,10,-1.6509
GRCh38_ENSG00000162695,GRCh38_SLC30A7,29,-0.3397,19,-1.0499,66,1.52203,23,-0.9254
GRCh38_ENSG00000134215,GRCh38_VAV3,11,-0.9168,19,-0.0676,23,0.30549,20,0.03339
GRCh38_ENSG00000085491,GRCh38_SLC25A24,19,-0.5773,28,-0.0013,39,0.70964,22,-0.5106
GRCh38_ENSG00000134186,GRCh38_PRPF38B,31,-0.1845,26,-0.4936,42,0.42693,34,-0.0325
GRCh38_ENSG00000116266,GRCh38_STXBP3,5,-1.7035,8,-1.1189,28,1.29245,14,-0.2976
GRCh38_ENSG00000121957,GRCh38_GPSM2,13,-1.1607,22,-0.4390,28,-0.0020,35,0.56913
GRCh38_ENSG00000121940,GRCh38_CLCC1,17,0.26952,13,-0.1890,17,0.39219,12,-0.3588
GRCh38_ENSG00000197780,GRCh38_TAF13,50,-0.4473,61,-0.1430,72,0.19339,68,0.06682
GRCh38_ENSG00000215717,GRCh38_TMEM167B,41,0.41009,29,-0.2018,28,-0.2849,35,0.19353
GRCh38_ENSG00000031698,GRCh38_SARS,116,-0.1643,120,-0.1345,100,-0.4893,158,0.52958
GRCh38_ENSG00000143126,GRCh38_CELSR2,28,-1.5053,94,0.43374,47,-0.8698,97,0.70006
GRCh38_ENSG00000134243,GRCh38_SORT1,22,-1.4028,94,1.01980,71,0.52464,34,-1.0630
GRCh38_ENSG00000143106,GRCh38_PSMA5,35,-0.9510,44,-0.6519,67,0.04961,82,0.59140
GRCh38_ENSG00000065135,GRCh38_GNAI3,64,-0.8215,108,0.00222,104,-0.0724,122,0.30154
GRCh38_ENSG00000116337,GRCh38_AMPD2,28,0.24164,24,-0.0178,30,0.44807,19,-0.5231
GRCh38_ENSG00000168765,GRCh38_GSTM4,13,-0.3467,9,-0.8971,15,-0.1694,22,0.73152
GRCh38_ENSG00000134202,GRCh38_GSTM3,34,-0.7261,30,-1.0022,67,0.42616,63,0.35759
GRCh38_ENSG00000184371,GRCh38_CSF1,35,0.39553,20,-0.5659,21,-0.4796,34,0.54397
GRCh38_ENSG00000168710,GRCh38_AHCYL1,44,-0.7012,59,-0.2906,94,0.66074,63,-0.2298
GRCh38_ENSG00000143093,GRCh38_STRIP1,16,-0.3993,13,-0.7572,21,-0.0117,26,0.55698
GRCh38_ENSG00000162775,GRCh38_RBM15,23,0.68323,11,-0.4884,16,0.09963,14,-0.1050
GRCh38_ENSG00000134248,GRCh38_LAMTOR5,122,0.36152,75,-0.4696,54,-1.0964,136,0.90471
GRCh38_ENSG00000143119,GRCh38_CD53,51,0.57150,28,-0.4623,50,0.74086,26,-0.7252
GRCh38_ENSG00000121931,GRCh38_LRIF1,17,-0.9217,29,-0.1122,26,-0.3417,39,0.60827
GRCh38_ENSG00000156171,GRCh38_DRAM2,30,0.13379,16,-0.9061,30,0.19304,31,0.26517
GRCh38_ENSG00000134255,GRCh38_CEPT1,16,0.19057,15,0.17404,18,0.49695,10,-0.7026
GRCh38_ENSG00000162777,GRCh38_DENND2D,17,-0.2173,16,-0.4249,21,0.05573,22,0.28151
GRCh38_ENSG00000064886,GRCh38_CHI3L2,17,-2.0897,172,1.99178,60,-0.2809,37,-1.2814
GRCh38_ENSG00000116455,GRCh38_WDR77,18,0.04273,10,-0.9564,10,-1.0842,28,1.26086
GRCh38_ENSG00000116459,GRCh38_ATP5PB,78,-0.7038,91,-0.5099,100,-0.3864,165,0.81561
GRCh38_ENSG00000116473,GRCh38_RAP1A,67,0.00401,45,-0.6705,87,0.60347,61,-0.1850
GRCh38_ENSG00000171385,GRCh38_KCND3,6,-1.2727,17,0.33735,15,0.15317,14,-0.0407
GRCh38_ENSG00000143079,GRCh38_CTTNBP2NL,11,-1.7211,46,0.60169,43,0.51610,26,-0.5534
GRCh38_ENSG00000007341,GRCh38_ST7L,11,-0.2057,5,-1.4760,16,0.64739,13,0.16662
GRCh38_ENSG00000116489,GRCh38_CAPZA1,77,-1.1646,152,-0.1265,205,0.49058,159,-0.0567
GRCh38_ENSG00000155363,GRCh38_MOV10,79,0.19440,44,-0.7972,50,-0.6486,96,0.85552
GRCh38_ENSG00000155366,GRCh38_RHOC,194,-0.2597,133,-0.9244,214,-0.1315,295,0.68584
GRCh38_ENSG00000155380,GRCh38_SLC16A1,48,-0.8802,57,-0.6764,95,0.25107,99,0.41188
GRCh38_ENSG00000198799,GRCh38_LRIG2,6,-1.2093,8,-0.8648,17,0.42964,16,0.39691
GRCh38_ENSG00000134262,GRCh38_AP4B1,22,0.72689,8,-0.9174,11,-0.5091,18,0.56385
GRCh38_ENSG00000163349,GRCh38_HIPK1,27,-0.2849,21,-0.7155,47,0.80879,29,-0.2735
GRCh38_ENSG00000116774,GRCh38_OLFML3,30,-0.1622,21,-0.8014,65,1.65065,17,-1.3216
GRCh38_ENSG00000197323,GRCh38_TRIM33,9,-1.3691,21,-0.0009,34,1.08671,15,-0.7607
GRCh38_ENSG00000116752,GRCh38_BCAS2,33,-0.3237,29,-0.5513,41,0.01728,47,0.41280
GRCh38_ENSG00000175984,GRCh38_DENND2C,19,-1.4145,77,0.93089,65,0.68404,27,-1.1629
GRCh38_ENSG00000213281,GRCh38_NRAS,37,-0.7112,42,-0.5595,76,0.59163,58,-0.0059
