Feature
247,GRCh38_ENSG00000179111
248,GRCh38_ENSG00000162639
249,GRCh38_ENSG00000110203
250,GRCh38_ENSG00000282876
251,GRCh38_ENSG00000139835
252,GRCh38_ENSG00000143256
253,GRCh38_ENSG00000100968
254,GRCh38_ENSG00000269886
255,GRCh38_ENSG00000223478
256,GRCh38_ENSG00000089248
257,GRCh38_ENSG00000128463
258,GRCh38_ENSG00000129566
259,GRCh38_ENSG00000004779
260,GRCh38_ENSG00000274536
261,GRCh38_ENSG00000234695
262,GRCh38_ENSG00000160469
263,GRCh38_ENSG00000139190
264,GRCh38_ENSG00000276148
265,GRCh38_ENSG00000272277
266,GRCh38_ENSG00000175785
267,GRCh38_ENSG00000224660
268,GRCh38_ENSG00000261737
269,GRCh38_ENSG00000273148
270,GRCh38_ENSG00000135502
271,GRCh38_ENSG00000002933
272,GRCh38_ENSG00000212743
273,GRCh38_ENSG00000261655
274,GRCh38_ENSG00000269997
275,GRCh38_ENSG00000168237
276,GRCh38_ENSG00000144214
277,GRCh38_ENSG00000092098
278,GRCh38_ENSG00000236049
279,GRCh38_ENSG00000271895
280,GRCh38_ENSG00000148935
281,GRCh38_ENSG00000267259
282,GRCh38_ENSG00000185885
283,GRCh38_ENSG00000160180
284,GRCh38_ENSG00000146731
285,GRCh38_ENSG00000284797
286,GRCh38_ENSG00000178977
287,GRCh38_ENSG00000164627
288,GRCh38_ENSG00000114854
289,GRCh38_ENSG00000275223
290,GRCh38_ENSG00000128285
291,GRCh38_ENSG00000268678
292,GRCh38_ENSG00000262185
293,GRCh38_ENSG00000272583
294,GRCh38_ENSG00000203760
295,GRCh38_ENSG00000267064
296,GRCh38_ENSG00000126218
297,GRCh38_ENSG00000005189
298,GRCh38_ENSG00000126895
299,GRCh38_ENSG00000188015
300,GRCh38_ENSG00000248540
301,GRCh38_ENSG00000196639
302,GRCh38_ENSG00000232480
303,GRCh38_ENSG00000141524
304,GRCh38_ENSG00000286656
305,GRCh38_ENSG00000100532
306,GRCh38_ENSG00000268403
307,GRCh38_ENSG00000142102
308,GRCh38_ENSG00000249310
309,GRCh38_ENSG00000227467
310,GRCh38_ENSG00000105371
311,GRCh38_ENSG00000275759
312,GRCh38_ENSG00000196655
313,GRCh38_ENSG00000101194
314,GRCh38_ENSG00000198670
315,GRCh38_ENSG00000267309
316,GRCh38_ENSG00000096996
317,GRCh38_ENSG00000113721
318,GRCh38_ENSG00000142961
319,GRCh38_ENSG00000272514
320,GRCh38_ENSG00000215440
321,GRCh38_ENSG00000154920
322,GRCh38_ENSG00000160404
323,GRCh38_ENSG00000273212
324,GRCh38_ENSG00000121653
325,GRCh38_ENSG00000065371
326,GRCh38_ENSG00000090581
327,GRCh38_ENSG00000198711
328,GRCh38_ENSG00000262165
329,GRCh38_ENSG00000060688
330,GRCh38_ENSG00000198355
331,GRCh38_ENSG00000073060
332,GRCh38_ENSG00000166188
333,GRCh38_ENSG00000186889
334,GRCh38_ENSG00000266088
335,GRCh38_ENSG00000151470
336,GRCh38_ENSG00000198851
337,GRCh38_ENSG00000243927
338,GRCh38_ENSG00000103260
339,GRCh38_ENSG00000258875
340,GRCh38_ENSG00000100564
341,GRCh38_ENSG00000167851
342,GRCh38_ENSG00000242147
343,GRCh38_ENSG00000141699
344,GRCh38_ENSG00000204856
345,GRCh38_ENSG00000261816
346,GRCh38_ENSG00000053108
347,GRCh38_ENSG00000272905
348,GRCh38_ENSG00000241484
349,GRCh38_ENSG00000158042
350,GRCh38_ENSG00000161395
351,GRCh38_ENSG00000005007
352,GRCh38_ENSG00000227057
353,GRCh38_ENSG00000159346
354,GRCh38_ENSG00000129991
355,GRCh38_ENSG00000273136
356,GRCh38_ENSG00000286379
357,GRCh38_ENSG00000136098
358,GRCh38_ENSG00000081853
359,GRCh38_ENSG00000077522
360,GRCh38_ENSG00000087087
