Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4to6,Feature log2 fold change topic 4to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to10,Feature log2 fold change topic 8to10
GRCh38_ENSG00000162729,GRCh38_IGSF8,18,-0.5274,27,0.05818,19,-0.5367,18,-0.5744,37,0.78279
GRCh38_ENSG00000162734,GRCh38_PEA15,131,0.00254,163,0.41972,149,0.28487,114,-0.2080,95,-0.6165
GRCh38_ENSG00000132716,GRCh38_DCAF8,69,0.49118,40,-0.4172,50,-0.0272,37,-0.4883,57,0.25124
GRCh38_ENSG00000162735,GRCh38_PEX19,11,-1.0503,25,0.20120,20,-0.1977,27,0.30633,25,0.22024
GRCh38_ENSG00000122218,GRCh38_COPA,81,-0.3021,74,-0.4888,123,0.48703,126,0.41335,86,-0.2719
GRCh38_ENSG00000162736,GRCh38_NCSTN,43,-0.5090,54,-0.1778,53,-0.2345,89,0.64381,66,0.21138
GRCh38_ENSG00000026751,GRCh38_SLAMF7,134,1.75309,43,-0.2074,60,0.43219,18,-1.5189,23,-1.3279
GRCh38_ENSG00000158769,GRCh38_F11R,53,-1.7644,190,0.21285,190,0.24054,96,-0.8794,198,0.33302
GRCh38_ENSG00000215845,GRCh38_TSTD1,41,-0.7377,61,-0.1479,55,-0.3853,36,-0.9358,101,0.94158
GRCh38_ENSG00000186517,GRCh38_ARHGAP30,16,-0.3407,26,0.51590,24,0.44554,7,-1.5793,16,-0.3501
GRCh38_ENSG00000143217,GRCh38_NECTIN4,27,-2.2378,214,1.17746,98,-0.3714,25,-2.3437,136,0.30077
GRCh38_ENSG00000143256,GRCh38_PFDN2,73,0.01875,57,-0.4155,45,-0.8816,138,1.07516,88,0.40836
GRCh38_ENSG00000158793,GRCh38_NIT1,19,-0.7264,47,0.79626,30,-0.0574,18,-0.8500,29,-0.1075
GRCh38_ENSG00000158796,GRCh38_DEDD,25,-0.3230,30,-0.0452,33,0.12387,35,0.22490,30,-0.0684
GRCh38_ENSG00000143222,GRCh38_UFC1,60,-0.3491,84,0.20732,79,0.10344,70,-0.1084,71,-0.0898
GRCh38_ENSG00000158850,GRCh38_B4GALT3,80,1.39973,27,-0.4713,22,-0.8318,44,0.35881,35,0.01195
GRCh38_ENSG00000158859,GRCh38_ADAMTS4,39,0.46913,8,-1.9649,46,1.04845,69,1.45732,10,-1.9026
GRCh38_ENSG00000158864,GRCh38_NDUFS2,57,0.10421,41,-0.4892,49,-0.1747,73,0.48809,60,0.21442
