Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to10,Feature log2 fold change topic 2to10
GRCh38_ENSG00000187017,GRCh38_ESPN,7,-1.8920,29,1.89208
GRCh38_ENSG00000215788,GRCh38_TNFRSF25,49,-0.2182,57,0.21823
GRCh38_ENSG00000171680,GRCh38_PLEKHG5,16,-1.5940,50,1.59409
GRCh38_ENSG00000162408,GRCh38_NOL9,28,0.11017,26,-0.1101
GRCh38_ENSG00000204859,GRCh38_ZBTB48,22,0.47706,16,-0.4770
GRCh38_ENSG00000162413,GRCh38_KLHL21,50,-0.1603,56,0.16030
GRCh38_ENSG00000116273,GRCh38_PHF13,8,-0.9925,16,0.99257
GRCh38_ENSG00000041988,GRCh38_THAP3,14,0.03049,14,-0.0304
GRCh38_ENSG00000007923,GRCh38_DNAJC11,34,0.18619,30,-0.1861
GRCh38_ENSG00000171735,GRCh38_CAMTA1,36,0.18016,31,-0.1801
GRCh38_ENSG00000049245,GRCh38_VAMP3,53,-0.6167,81,0.61678
GRCh38_ENSG00000049246,GRCh38_PER3,13,-1.1891,30,1.18917
GRCh38_ENSG00000116288,GRCh38_PARK7,114,-0.4744,158,0.47445
GRCh38_ENSG00000116285,GRCh38_ERRFI1,12,-1.0486,25,1.04862
GRCh38_ENSG00000142599,GRCh38_RERE,46,0.52193,32,-0.5219
GRCh38_ENSG00000074800,GRCh38_ENO1,641,-0.5389,931,0.53895
GRCh38_ENSG00000180758,GRCh38_GPR157,9,-1.3601,24,1.36015
GRCh38_ENSG00000049239,GRCh38_H6PD,27,-0.4510,36,0.45101
GRCh38_ENSG00000171621,GRCh38_SPSB1,52,0.40464,39,-0.4046
GRCh38_ENSG00000171608,GRCh38_PIK3CD,33,0.64284,21,-0.6428
GRCh38_ENSG00000171603,GRCh38_CLSTN1,221,-0.3747,286,0.37474
GRCh38_ENSG00000178585,GRCh38_CTNNBIP1,39,-2.0283,160,2.02839
GRCh38_ENSG00000162441,GRCh38_LZIC,25,-0.2157,30,0.21575
GRCh38_ENSG00000130939,GRCh38_UBE4B,21,-0.6456,33,0.64562
GRCh38_ENSG00000054523,GRCh38_KIF1B,30,-0.8795,57,0.87957
GRCh38_ENSG00000142657,GRCh38_PGD,40,-0.5834,61,0.58345
GRCh38_ENSG00000160049,GRCh38_DFFA,11,-1.0626,24,1.06264
GRCh38_ENSG00000130940,GRCh38_CASZ1,4,-2.2234,20,2.22347
GRCh38_ENSG00000120948,GRCh38_TARDBP,61,-0.0668,64,0.06683
GRCh38_ENSG00000116649,GRCh38_SRM,86,0.58529,57,-0.5852
GRCh38_ENSG00000171824,GRCh38_EXOSC10,31,-0.0180,31,0.01807
GRCh38_ENSG00000198793,GRCh38_MTOR,15,-0.8982,29,0.89821
GRCh38_ENSG00000116661,GRCh38_FBXO2,14,-0.1594,16,0.15948
GRCh38_ENSG00000116670,GRCh38_MAD2L2,33,0.31179,26,-0.3117
GRCh38_ENSG00000177674,GRCh38_AGTRAP,66,-0.7536,111,0.75360
GRCh38_ENSG00000177000,GRCh38_MTHFR,21,0.12569,20,-0.1256
GRCh38_ENSG00000011021,GRCh38_CLCN6,14,0.42359,10,-0.4235
GRCh38_ENSG00000116685,GRCh38_KIAA2013,52,-0.1275,57,0.12758
GRCh38_ENSG00000083444,GRCh38_PLOD1,107,0.75121,63,-0.7512
GRCh38_ENSG00000116688,GRCh38_MFN2,41,-0.7327,69,0.73276
GRCh38_ENSG00000116691,GRCh38_MIIP,43,0.57606,29,-0.5760
GRCh38_ENSG00000028137,GRCh38_TNFRSF1B,31,-0.0390,32,0.03908
GRCh38_ENSG00000048707,GRCh38_VPS13D,19,-0.6146,29,0.61466
GRCh38_ENSG00000162496,GRCh38_DHRS3,35,-0.5638,52,0.56384
GRCh38_ENSG00000162493,GRCh38_PDPN,264,-0.1380,290,0.13800
GRCh38_ENSG00000116731,GRCh38_PRDM2,24,-0.3016,30,0.30166
GRCh38_ENSG00000189337,GRCh38_KAZN,5,-1.4539,16,1.45397
GRCh38_ENSG00000171729,GRCh38_TMEM51,21,-0.9039,40,0.90394
GRCh38_ENSG00000142634,GRCh38_EFHD2,73,-0.5228,105,0.52283
GRCh38_ENSG00000116138,GRCh38_DNAJC16,9,-0.5724,14,0.57245
GRCh38_ENSG00000197312,GRCh38_DDI2,11,-1.4027,30,1.40278
GRCh38_ENSG00000116786,GRCh38_PLEKHM2,70,0.11841,65,-0.1184
GRCh38_ENSG00000162458,GRCh38_FBLIM1,93,-0.7511,157,0.75115
GRCh38_ENSG00000065526,GRCh38_SPEN,22,-0.3317,27,0.33176
GRCh38_ENSG00000116809,GRCh38_ZBTB17,15,-0.8857,27,0.88576
GRCh38_ENSG00000142627,GRCh38_EPHA2,37,-1.2770,90,1.27709
GRCh38_ENSG00000142632,GRCh38_ARHGEF19,7,-1.2557,18,1.25579
GRCh38_ENSG00000037637,GRCh38_FBXO42,17,-0.4089,22,0.40897
GRCh38_ENSG00000055070,GRCh38_SZRD1,84,-0.2432,99,0.24328
GRCh38_ENSG00000157191,GRCh38_NECAP2,31,-0.6375,49,0.63757
GRCh38_ENSG00000117122,GRCh38_MFAP2,92,0.54549,63,-0.5454
GRCh38_ENSG00000159363,GRCh38_ATP13A2,27,-0.7451,45,0.74517
GRCh38_ENSG00000117118,GRCh38_SDHB,34,-0.4815,47,0.48151
GRCh38_ENSG00000179051,GRCh38_RCC2,62,-0.5191,89,0.51919
GRCh38_ENSG00000074964,GRCh38_ARHGEF10L,25,-0.4694,35,0.46949
GRCh38_ENSG00000169991,GRCh38_IFFO2,36,-1.7676,125,1.76760
GRCh38_ENSG00000127481,GRCh38_UBR4,10,-0.9592,20,0.95926
GRCh38_ENSG00000127463,GRCh38_EMC1,15,-1.1190,34,1.11907
GRCh38_ENSG00000053372,GRCh38_MRTO4,40,0.06917,38,-0.0691
GRCh38_ENSG00000053371,GRCh38_AKR7A2,23,-0.0705,24,0.07057
GRCh38_ENSG00000040487,GRCh38_SLC66A1,16,0.10228,15,-0.1022
GRCh38_ENSG00000077549,GRCh38_CAPZB,153,-0.5167,219,0.51671
GRCh38_ENSG00000173436,GRCh38_MICOS10,142,0.32118,114,-0.3211
GRCh38_ENSG00000158747,GRCh38_NBL1,122,0.03710,119,-0.0371
GRCh38_ENSG00000158786,GRCh38_PLA2G2F,2,-4.4857,47,4.48572
GRCh38_ENSG00000162545,GRCh38_CAMK2N1,26,-0.5190,38,0.51906
GRCh38_ENSG00000090432,GRCh38_MUL1,36,-0.1148,39,0.11487
GRCh38_ENSG00000158825,GRCh38_CDA,9,-1.5630,26,1.56307
GRCh38_ENSG00000158828,GRCh38_PINK1,73,-0.5295,105,0.52953
GRCh38_ENSG00000244038,GRCh38_DDOST,56,0.06919,54,-0.0691
GRCh38_ENSG00000189410,GRCh38_SH2D5,33,-0.1806,37,0.18062
GRCh38_ENSG00000127483,GRCh38_HP1BP3,73,-0.1364,80,0.13646
GRCh38_ENSG00000075151,GRCh38_EIF4G3,28,-0.4242,38,0.42423
GRCh38_ENSG00000117298,GRCh38_ECE1,82,1.16858,36,-1.1685
GRCh38_ENSG00000090686,GRCh38_USP48,46,0.13110,42,-0.1311
GRCh38_ENSG00000142798,GRCh38_HSPG2,273,0.59888,180,-0.5988
GRCh38_ENSG00000070831,GRCh38_CDC42,157,-1.0489,326,1.04899
GRCh38_ENSG00000162552,GRCh38_WNT4,10,-2.0996,46,2.09969
GRCh38_ENSG00000173372,GRCh38_C1QA,328,-0.4722,455,0.47221
GRCh38_ENSG00000159189,GRCh38_C1QC,78,-0.3586,100,0.35861
GRCh38_ENSG00000173369,GRCh38_C1QB,230,-0.7418,386,0.74188
GRCh38_ENSG00000133216,GRCh38_EPHB2,8,-0.9973,17,0.99736
GRCh38_ENSG00000004487,GRCh38_KDM1A,28,-0.0325,28,0.03257
GRCh38_ENSG00000169641,GRCh38_LUZP1,32,-0.8238,57,0.82384
GRCh38_ENSG00000125944,GRCh38_HNRNPR,70,-0.1851,80,0.18510
GRCh38_ENSG00000117318,GRCh38_ID3,84,0.20866,73,-0.2086
GRCh38_ENSG00000142676,GRCh38_RPL11,832,-0.6038,1265,0.60389
GRCh38_ENSG00000011007,GRCh38_ELOA,20,-0.3808,26,0.38080
GRCh38_ENSG00000057757,GRCh38_PITHD1,43,-0.5259,62,0.52599
GRCh38_ENSG00000011009,GRCh38_LYPLA2,55,-0.6107,85,0.61079
GRCh38_ENSG00000117308,GRCh38_GALE,20,-0.5653,30,0.56530
GRCh38_ENSG00000117305,GRCh38_HMGCL,15,-0.9572,30,0.95728
GRCh38_ENSG00000179163,GRCh38_FUCA1,26,0.54006,18,-0.5400
GRCh38_ENSG00000189266,GRCh38_PNRC2,52,-0.3727,67,0.37276
GRCh38_ENSG00000188529,GRCh38_SRSF10,39,-0.2896,48,0.28966
GRCh38_ENSG00000142677,GRCh38_IL22RA1,4,-2.4893,22,2.48931
GRCh38_ENSG00000158055,GRCh38_GRHL3,6,-1.6084,20,1.60847
GRCh38_ENSG00000001461,GRCh38_NIPAL3,8,-0.7432,14,0.74327
GRCh38_ENSG00000117602,GRCh38_RCAN3,9,-1.0890,21,1.08904
GRCh38_ENSG00000133226,GRCh38_SRRM1,16,-0.9067,30,0.90674
GRCh38_ENSG00000169504,GRCh38_CLIC4,123,0.09536,115,-0.0953
GRCh38_ENSG00000020633,GRCh38_RUNX3,25,0.74863,15,-0.7486
GRCh38_ENSG00000117614,GRCh38_SYF2,36,-0.2370,43,0.23705
GRCh38_ENSG00000117616,GRCh38_RSRP1,41,0.26897,34,-0.2689
GRCh38_ENSG00000183726,GRCh38_TMEM50A,72,-0.6591,115,0.65917
GRCh38_ENSG00000204178,GRCh38_MACO1,24,-0.4435,33,0.44359
GRCh38_ENSG00000157978,GRCh38_LDLRAP1,29,0.04917,28,-0.0491
GRCh38_ENSG00000162430,GRCh38_SELENON,80,0.69645,49,-0.6964
GRCh38_ENSG00000117640,GRCh38_MTFR1L,39,0.77227,23,-0.7722
GRCh38_ENSG00000182749,GRCh38_PAQR7,14,-0.7045,23,0.70457
GRCh38_ENSG00000117632,GRCh38_STMN1,76,-0.2290,89,0.22903
GRCh38_ENSG00000142684,GRCh38_ZNF593,59,0.48148,42,-0.4814
GRCh38_ENSG00000142675,GRCh38_CNKSR1,14,-0.3700,18,0.37007
GRCh38_ENSG00000142669,GRCh38_SH3BGRL3,468,-0.6118,715,0.61189
GRCh38_ENSG00000169442,GRCh38_CD52,76,0.10903,71,-0.1090
GRCh38_ENSG00000176092,GRCh38_CRYBG2,18,-1.1490,40,1.14903
GRCh38_ENSG00000117682,GRCh38_DHDDS,30,0.71836,18,-0.7183
GRCh38_ENSG00000198830,GRCh38_HMGN2,181,-0.2666,218,0.26662
GRCh38_ENSG00000117676,GRCh38_RPS6KA1,42,0.23684,35,-0.2368
GRCh38_ENSG00000117713,GRCh38_ARID1A,33,-0.3918,43,0.39183
GRCh38_ENSG00000204160,GRCh38_ZDHHC18,25,-0.2537,30,0.25373
GRCh38_ENSG00000175793,GRCh38_SFN,2053,-1.2968,5045,1.29689
GRCh38_ENSG00000142751,GRCh38_GPN2,17,-0.4069,22,0.40690
GRCh38_ENSG00000198746,GRCh38_GPATCH3,3,-1.9458,14,1.94587
GRCh38_ENSG00000090273,GRCh38_NUDC,74,-0.1918,85,0.19185
GRCh38_ENSG00000175707,GRCh38_KDF1,11,-1.1568,25,1.15687
GRCh38_ENSG00000253368,GRCh38_TRNP1,7,-1.0803,15,1.08034
GRCh38_ENSG00000158246,GRCh38_TENT5B,24,-2.0069,96,2.00690
GRCh38_ENSG00000090020,GRCh38_SLC9A1,21,-0.8496,38,0.84964
GRCh38_ENSG00000142784,GRCh38_WDTC1,10,-0.7908,17,0.79085
GRCh38_ENSG00000186501,GRCh38_TMEM222,38,-0.2902,47,0.29022
GRCh38_ENSG00000142765,GRCh38_SYTL1,115,0.14856,104,-0.1485
GRCh38_ENSG00000142733,GRCh38_MAP3K6,32,-0.6712,51,0.67120
GRCh38_ENSG00000158195,GRCh38_WASF2,78,-0.6717,125,0.67178
GRCh38_ENSG00000126705,GRCh38_AHDC1,20,0.31924,16,-0.3192
GRCh38_ENSG00000126709,GRCh38_IFI6,353,-1.2298,828,1.22989
GRCh38_ENSG00000117758,GRCh38_STX12,24,-0.7752,42,0.77522
GRCh38_ENSG00000117751,GRCh38_PPP1R8,20,-0.2745,24,0.27452
GRCh38_ENSG00000130775,GRCh38_THEMIS2,55,1.20861,24,-1.2086
GRCh38_ENSG00000117748,GRCh38_RPA2,17,-0.5964,27,0.59645
GRCh38_ENSG00000126698,GRCh38_DNAJC8,69,-0.0531,71,0.05314
GRCh38_ENSG00000130770,GRCh38_ATP5IF1,127,-0.3430,161,0.34306
GRCh38_ENSG00000130766,GRCh38_SESN2,11,-0.4675,16,0.46753
GRCh38_ENSG00000204138,GRCh38_PHACTR4,16,-1.0183,33,1.01830
GRCh38_ENSG00000180198,GRCh38_RCC1,9,-0.4408,12,0.44083
GRCh38_ENSG00000242125,GRCh38_SNHG3,49,-0.1805,55,0.18055
GRCh38_ENSG00000180098,GRCh38_TRNAU1AP,25,0.05581,24,-0.0558
GRCh38_ENSG00000197989,GRCh38_SNHG12,24,-0.0576,25,0.05763
GRCh38_ENSG00000120656,GRCh38_TAF12,32,0.45071,23,-0.4507
GRCh38_ENSG00000162419,GRCh38_GMEB1,5,-1.2476,13,1.24767
GRCh38_ENSG00000198492,GRCh38_YTHDF2,66,-0.5213,95,0.52132
GRCh38_ENSG00000159023,GRCh38_EPB41,18,0.16788,16,-0.1678
GRCh38_ENSG00000116350,GRCh38_SRSF4,51,0.07300,48,-0.0730
GRCh38_ENSG00000116353,GRCh38_MECR,14,0.17150,12,-0.1715
GRCh38_ENSG00000162511,GRCh38_LAPTM5,180,-0.4104,240,0.41047
GRCh38_ENSG00000162512,GRCh38_SDC3,17,-0.6184,26,0.61845
GRCh38_ENSG00000134644,GRCh38_PUM1,37,-0.8610,68,0.86101
GRCh38_ENSG00000060688,GRCh38_SNRNP40,20,0.01159,20,-0.0115
GRCh38_ENSG00000121766,GRCh38_ZCCHC17,22,-0.1629,25,0.16290
GRCh38_ENSG00000168528,GRCh38_SERINC2,199,-0.7044,324,0.70444
GRCh38_ENSG00000142910,GRCh38_TINAGL1,22,-0.2926,26,0.29262
GRCh38_ENSG00000162517,GRCh38_PEF1,52,-0.5342,76,0.53427
GRCh38_ENSG00000084636,GRCh38_COL16A1,116,0.35264,91,-0.3526
GRCh38_ENSG00000134668,GRCh38_SPOCD1,17,-0.3676,22,0.36764
GRCh38_ENSG00000184007,GRCh38_PTP4A2,104,-0.0638,109,0.06389
GRCh38_ENSG00000121774,GRCh38_KHDRBS1,79,-0.2580,94,0.25804
GRCh38_ENSG00000121775,GRCh38_TMEM39B,22,0.49925,15,-0.4992
GRCh38_ENSG00000025800,GRCh38_KPNA6,9,-1.6625,30,1.66251
GRCh38_ENSG00000084652,GRCh38_TXLNA,56,-0.1230,61,0.12304
GRCh38_ENSG00000160055,GRCh38_TMEM234,14,0.30389,11,-0.3038
GRCh38_ENSG00000084623,GRCh38_EIF3I,93,-0.6354,144,0.63547
GRCh38_ENSG00000182866,GRCh38_LCK,21,0.19691,18,-0.1969
GRCh38_ENSG00000116478,GRCh38_HDAC1,56,-0.3793,74,0.37937
GRCh38_ENSG00000175130,GRCh38_MARCKSL1,138,-0.4754,192,0.47549
GRCh38_ENSG00000160058,GRCh38_BSDC1,31,0.36379,24,-0.3637
GRCh38_ENSG00000176261,GRCh38_ZBTB8OS,45,0.05300,43,-0.0530
GRCh38_ENSG00000162521,GRCh38_RBBP4,60,0.14472,55,-0.1447
GRCh38_ENSG00000162522,GRCh38_KIAA1522,20,-0.7699,34,0.76991
GRCh38_ENSG00000134684,GRCh38_YARS,83,-0.2498,99,0.24986
GRCh38_ENSG00000116497,GRCh38_S100PBP,15,-0.1461,16,0.14614
GRCh38_ENSG00000121900,GRCh38_TMEM54,104,-1.3144,259,1.31446
GRCh38_ENSG00000116514,GRCh38_RNF19B,49,-0.3449,62,0.34497
GRCh38_ENSG00000004455,GRCh38_AK2,80,-0.4759,112,0.47595
GRCh38_ENSG00000160094,GRCh38_ZNF362,22,0.63362,14,-0.6336
GRCh38_ENSG00000134686,GRCh38_PHC2,100,0.38520,77,-0.3852
GRCh38_ENSG00000163866,GRCh38_SMIM12,38,-0.2398,45,0.23980
GRCh38_ENSG00000189280,GRCh38_GJB5,56,-1.0371,115,1.03710
GRCh38_ENSG00000189433,GRCh38_GJB4,11,-0.7282,19,0.72826
GRCh38_ENSG00000188910,GRCh38_GJB3,39,-1.2363,94,1.23630
GRCh38_ENSG00000243749,GRCh38_TMEM35B,22,0.09712,21,-0.0971
GRCh38_ENSG00000163867,GRCh38_ZMYM6,13,-0.3557,17,0.35571
GRCh38_ENSG00000116560,GRCh38_SFPQ,121,-0.1841,137,0.18410
GRCh38_ENSG00000146463,GRCh38_ZMYM4,15,-0.2191,17,0.21914
GRCh38_ENSG00000142687,GRCh38_KIAA0319L,35,0.01327,35,-0.0132
GRCh38_ENSG00000020129,GRCh38_NCDN,13,-0.6958,22,0.69586
GRCh38_ENSG00000126067,GRCh38_PSMB2,133,-0.3148,165,0.31489
GRCh38_ENSG00000092847,GRCh38_AGO1,15,-0.2481,18,0.24810
GRCh38_ENSG00000126070,GRCh38_AGO3,15,0.09285,14,-0.0928
GRCh38_ENSG00000116863,GRCh38_ADPRHL2,25,-0.3642,33,0.36425
GRCh38_ENSG00000171812,GRCh38_COL8A2,16,0.22237,14,-0.2223
GRCh38_ENSG00000054116,GRCh38_TRAPPC3,78,-0.2303,92,0.23038
GRCh38_ENSG00000116871,GRCh38_MAP7D1,152,-0.9081,285,0.90817
GRCh38_ENSG00000054118,GRCh38_THRAP3,78,0.06816,75,-0.0681
GRCh38_ENSG00000214193,GRCh38_SH3D21,10,-1.0892,22,1.08925
GRCh38_ENSG00000142694,GRCh38_EVA1B,78,0.76021,46,-0.7602
GRCh38_ENSG00000196182,GRCh38_STK40,59,0.22303,51,-0.2230
GRCh38_ENSG00000181817,GRCh38_LSM10,33,0.03043,32,-0.0304
GRCh38_ENSG00000116898,GRCh38_MRPS15,35,-0.9442,68,0.94422
GRCh38_ENSG00000163874,GRCh38_ZC3H12A,45,-0.6359,69,0.63591
GRCh38_ENSG00000163875,GRCh38_MEAF6,34,-0.1894,39,0.18940
GRCh38_ENSG00000163877,GRCh38_SNIP1,12,-0.5373,17,0.53739
GRCh38_ENSG00000134697,GRCh38_GNL2,21,-0.4964,30,0.49642
GRCh38_ENSG00000196449,GRCh38_YRDC,21,0.34922,16,-0.3492
GRCh38_ENSG00000197982,GRCh38_C1orf122,75,-0.1947,85,0.19479
GRCh38_ENSG00000188786,GRCh38_MTF1,4,-1.8126,14,1.81266
GRCh38_ENSG00000183431,GRCh38_SF3A3,36,0.14201,32,-0.1420
GRCh38_ENSG00000183386,GRCh38_FHL3,25,0.37210,19,-0.3721
GRCh38_ENSG00000183520,GRCh38_UTP11,14,-1.2417,34,1.24175
GRCh38_ENSG00000116954,GRCh38_RRAGC,44,-0.4484,61,0.44846
GRCh38_ENSG00000214114,GRCh38_MYCBP,32,0.29086,26,-0.2908
GRCh38_ENSG00000174574,GRCh38_AKIRIN1,21,-0.7727,36,0.77272
GRCh38_ENSG00000168653,GRCh38_NDUFS5,127,-0.4363,172,0.43634
GRCh38_ENSG00000127603,GRCh38_MACF1,95,-1.2452,225,1.24529
GRCh38_ENSG00000090621,GRCh38_PABPC4,58,-0.1815,66,0.18155
GRCh38_ENSG00000084072,GRCh38_PPIE,51,0.48380,36,-0.4838
GRCh38_ENSG00000043514,GRCh38_TRIT1,6,-0.8501,11,0.85010
GRCh38_ENSG00000116990,GRCh38_MYCL,6,-1.8326,23,1.83267
GRCh38_ENSG00000168389,GRCh38_MFSD2A,7,-1.5520,21,1.55206
GRCh38_ENSG00000131236,GRCh38_CAP1,198,-0.6300,306,0.63001
GRCh38_ENSG00000131238,GRCh38_PPT1,54,-0.7058,88,0.70582
GRCh38_ENSG00000084073,GRCh38_ZMPSTE24,29,-0.4792,40,0.47922
GRCh38_ENSG00000084070,GRCh38_SMAP2,47,0.48108,34,-0.4810
GRCh38_ENSG00000066136,GRCh38_NFYC,18,-0.7687,31,0.76872
GRCh38_ENSG00000179862,GRCh38_CITED4,83,-1.2279,195,1.22794
GRCh38_ENSG00000171793,GRCh38_CTPS1,41,0.09038,38,-0.0903
GRCh38_ENSG00000198815,GRCh38_FOXJ3,33,0.33791,26,-0.3379
GRCh38_ENSG00000127125,GRCh38_PPCS,73,-0.2592,87,0.25920
GRCh38_ENSG00000171960,GRCh38_PPIH,16,-0.3066,19,0.30665
GRCh38_ENSG00000065978,GRCh38_YBX1,154,-0.4998,218,0.49988
GRCh38_ENSG00000117385,GRCh38_P3H1,33,0.61400,21,-0.6140
GRCh38_ENSG00000164008,GRCh38_C1orf50,10,-0.3728,14,0.37288
GRCh38_ENSG00000117394,GRCh38_SLC2A1,201,-0.7639,342,0.76395
GRCh38_ENSG00000117395,GRCh38_EBNA1BP2,40,-0.3061,50,0.30616
GRCh38_ENSG00000117399,GRCh38_CDC20,9,-1.1562,21,1.15622
GRCh38_ENSG00000066322,GRCh38_ELOVL1,84,-0.2282,99,0.22828
GRCh38_ENSG00000159479,GRCh38_MED8,52,0.07996,50,-0.0799
GRCh38_ENSG00000198198,GRCh38_SZT2,21,-0.2474,26,0.24741
GRCh38_ENSG00000178922,GRCh38_HYI,40,0.89171,21,-0.8917
GRCh38_ENSG00000142949,GRCh38_PTPRF,119,-0.7818,205,0.78184
GRCh38_ENSG00000066135,GRCh38_KDM4A,10,-0.8959,18,0.89593
GRCh38_ENSG00000117408,GRCh38_IPO13,27,0.13962,25,-0.1396
GRCh38_ENSG00000132768,GRCh38_DPH2,7,-0.9270,14,0.92706
GRCh38_ENSG00000117410,GRCh38_ATP6V0B,219,0.14363,198,-0.1436
GRCh38_ENSG00000117411,GRCh38_B4GALT2,60,0.51820,42,-0.5182
GRCh38_ENSG00000196517,GRCh38_SLC6A9,14,-0.3840,19,0.38408
GRCh38_ENSG00000178028,GRCh38_DMAP1,55,0.99748,27,-0.9974
GRCh38_ENSG00000117419,GRCh38_ERI3,32,-0.0207,33,0.02077
GRCh38_ENSG00000187147,GRCh38_RNF220,51,0.23275,43,-0.2327
GRCh38_ENSG00000142937,GRCh38_RPS8,1422,-0.0692,1492,0.06928
GRCh38_ENSG00000173846,GRCh38_PLK3,28,-0.1760,32,0.17608
GRCh38_ENSG00000070785,GRCh38_EIF2B3,18,0.14770,16,-0.1477
GRCh38_ENSG00000126107,GRCh38_HECTD3,18,-0.1894,21,0.18945
GRCh38_ENSG00000126088,GRCh38_UROD,47,-0.1560,53,0.15604
GRCh38_ENSG00000117450,GRCh38_PRDX1,271,-0.1453,300,0.14536
GRCh38_ENSG00000117448,GRCh38_AKR1A1,129,0.56872,87,-0.5687
GRCh38_ENSG00000132780,GRCh38_NASP,77,0.37035,60,-0.3703
GRCh38_ENSG00000159592,GRCh38_GPBP1L1,56,-0.2691,67,0.26912
GRCh38_ENSG00000159596,GRCh38_TMEM69,21,0.23631,17,-0.2363
GRCh38_ENSG00000086015,GRCh38_MAST2,30,0.34248,23,-0.3424
GRCh38_ENSG00000117472,GRCh38_TSPAN1,7,-1.3153,17,1.31536
GRCh38_ENSG00000085998,GRCh38_POMGNT1,34,0.60853,22,-0.6085
GRCh38_ENSG00000132128,GRCh38_LRRC41,35,-0.1432,39,0.14328
GRCh38_ENSG00000173660,GRCh38_UQCRH,234,0.04530,226,-0.0453
GRCh38_ENSG00000117481,GRCh38_NSUN4,16,0.07307,15,-0.0730
