Feature,Normalized.Dispersion
GRCh38_ENSG00000162458,0.2920039402612892
GRCh38_ENSG00000233954,-1.2468675514672514
GRCh38_ENSG00000179743,-1.211946202922674
GRCh38_ENSG00000065526,8.360099758420281
GRCh38_ENSG00000116809,-1.2301248152236641
GRCh38_ENSG00000173641,-1
GRCh38_ENSG00000184908,NaN
GRCh38_ENSG00000185519,2.4498271800700606
GRCh38_ENSG00000142627,0.009950618110265059
GRCh38_ENSG00000227959,-0.5960430839345101
GRCh38_ENSG00000224621,-2.9000560449855124
GRCh38_ENSG00000142632,5.935426079818118
GRCh38_ENSG00000288398,0.11192929499268542
GRCh38_ENSG00000132881,0.1519823409675702
GRCh38_ENSG00000037637,-1.366839200686716
GRCh38_ENSG00000055070,-0.9589946665659728
GRCh38_ENSG00000187144,NaN
GRCh38_ENSG00000157191,3.7118866005347773
GRCh38_ENSG00000226029,4.672261736184118
GRCh38_ENSG00000261135,2.0784170034295024
GRCh38_ENSG00000219481,-0.8372460910835067
GRCh38_ENSG00000058453,-0.9503293862531448
GRCh38_ENSG00000238142,0.2886512430295806
GRCh38_ENSG00000272426,0.6862945657401783
GRCh38_ENSG00000117122,-0.3970534181315835
GRCh38_ENSG00000159363,-1.264258528778442
GRCh38_ENSG00000117118,-1.5037637255591922
GRCh38_ENSG00000117115,-1.548756158367129
GRCh38_ENSG00000204362,-0.9227258627158325
GRCh38_ENSG00000142623,-1.2783187154085849
GRCh38_ENSG00000142619,-0.7811533045117269
GRCh38_ENSG00000159339,NaN
GRCh38_ENSG00000227751,NaN
GRCh38_ENSG00000179051,-0.899003118996287
GRCh38_ENSG00000074964,-1.200515957529037
GRCh38_ENSG00000117154,-0.8094550682385816
GRCh38_ENSG00000009709,1.91910450608158
GRCh38_ENSG00000159423,0.776943586662516
GRCh38_ENSG00000169991,0.7298585743612772
GRCh38_ENSG00000272084,1.4964463183513974
GRCh38_ENSG00000127481,20.801959640798625
GRCh38_ENSG00000230424,1.2233360966267075
GRCh38_ENSG00000127463,0.7525054607013385
GRCh38_ENSG00000053372,-1.9767809475576386
GRCh38_ENSG00000162482,-1.3354941855119316
GRCh38_ENSG00000053371,1.6804613194313083
GRCh38_ENSG00000040487,-1.67639998282852
GRCh38_ENSG00000077549,0.3779598056645117
GRCh38_ENSG00000173436,0.5528399772275471
GRCh38_ENSG00000158747,0.158745516465088
GRCh38_ENSG00000158748,NaN
GRCh38_ENSG00000162542,0.9895427958550242
GRCh38_ENSG00000169914,35.935097279073894
GRCh38_ENSG00000188257,0.11150836278245392
GRCh38_ENSG00000127472,0.5779481575189118
GRCh38_ENSG00000117215,1.3029280074099048
GRCh38_ENSG00000158786,1.1008361316898922
GRCh38_ENSG00000227066,-0.9809752710110184
GRCh38_ENSG00000225986,0.38358903167218994
GRCh38_ENSG00000162543,3.3265925191724
GRCh38_ENSG00000158816,NaN
GRCh38_ENSG00000236963,2.268664509481452
GRCh38_ENSG00000162545,9.818729358525143
GRCh38_ENSG00000090432,-0.9777593639575471
GRCh38_ENSG00000183114,1.3516640317502602
GRCh38_ENSG00000158825,0.7034638119746226
GRCh38_ENSG00000158828,-0.777405229204581
GRCh38_ENSG00000117242,-1.9262457223212546
GRCh38_ENSG00000244038,-0.6594045691568338
GRCh38_ENSG00000117245,-0.3079220909738562
GRCh38_ENSG00000189410,-1.763062102290174
GRCh38_ENSG00000233069,NaN
GRCh38_ENSG00000127483,-1.1149342519226113
GRCh38_ENSG00000075151,0.5850149526997376
GRCh38_ENSG00000117298,-1.940625684398581
GRCh38_ENSG00000236936,NaN
GRCh38_ENSG00000231105,-2.6934548469214294
GRCh38_ENSG00000236009,NaN
GRCh38_ENSG00000142794,0.4789136690181424
GRCh38_ENSG00000162551,0.33048508706694724
GRCh38_ENSG00000233431,NaN
GRCh38_ENSG00000076864,-0.8922678663698013
GRCh38_ENSG00000090686,2.182313771619597
GRCh38_ENSG00000187942,0.3128682559697418
GRCh38_ENSG00000142798,0.271230546426707
GRCh38_ENSG00000228397,4.799369588186996
GRCh38_ENSG00000218510,-0.8510231692760302
GRCh38_ENSG00000070831,0.6776666565643218
GRCh38_ENSG00000285752,NaN
GRCh38_ENSG00000230068,NaN
GRCh38_ENSG00000162552,2.4025946659356903
GRCh38_ENSG00000285873,-0.3302022442446234
GRCh38_ENSG00000184677,-0.4152297492418512
GRCh38_ENSG00000070886,NaN
GRCh38_ENSG00000173372,-0.830587312491894
GRCh38_ENSG00000159189,0.9147440337458662
GRCh38_ENSG00000173369,-0.3207786380064677
GRCh38_ENSG00000133216,0.09815074011136056
GRCh38_ENSG00000227868,NaN
GRCh38_ENSG00000004487,-1.3752052353914583
GRCh38_ENSG00000169641,-0.6026704303964227
GRCh38_ENSG00000179546,-0.6021305489878055
GRCh38_ENSG00000261326,0.45786252390783044
GRCh38_ENSG00000284726,NaN
GRCh38_ENSG00000125944,-0.29520525004799714
GRCh38_ENSG00000125945,6.70343507229246
GRCh38_ENSG00000249087,-1.1465180917397153
GRCh38_ENSG00000271420,-0.6572331741486667
GRCh38_ENSG00000204219,0.19831537217117168
GRCh38_ENSG00000088280,-1.042764268482598
GRCh38_ENSG00000007968,2.1769720951164526
GRCh38_ENSG00000235052,NaN
GRCh38_ENSG00000117318,-0.09349652233550818
GRCh38_ENSG00000285802,NaN
GRCh38_ENSG00000197880,2.1950587686232694
GRCh38_ENSG00000142676,-1.2969192614603644
GRCh38_ENSG00000236810,-2.067298098496818
GRCh38_ENSG00000011007,-1.7456940938800234
GRCh38_ENSG00000057757,-0.04326690706663972
GRCh38_ENSG00000011009,-0.6384889659908852
GRCh38_ENSG00000117308,1.034893025386472
GRCh38_ENSG00000117305,-0.7036949027163077
GRCh38_ENSG00000179163,-0.889700399006065
GRCh38_ENSG00000188822,NaN
GRCh38_ENSG00000189266,2.2399960392744536
GRCh38_ENSG00000188529,-0.5208777060166194
GRCh38_ENSG00000142661,-0.8514847598696773
GRCh38_ENSG00000142677,0.865585763172569
GRCh38_ENSG00000185436,1.0245898672799165
GRCh38_ENSG00000230023,-2.0090290890976052
GRCh38_ENSG00000158055,2.3974412418661823
GRCh38_ENSG00000001460,0.12131424358250292
GRCh38_ENSG00000001461,0.5781442778118179
GRCh38_ENSG00000286061,-1.0299664376991868
GRCh38_ENSG00000117602,0.5367726733188034
GRCh38_ENSG00000264443,NaN
GRCh38_ENSG00000184454,2.575724524156654
GRCh38_ENSG00000133226,2.4816206446967533
GRCh38_ENSG00000169504,-1.205169523590609
GRCh38_ENSG00000020633,-0.7309837005571015
GRCh38_ENSG00000261025,1.2409339573704936
GRCh38_ENSG00000285823,NaN
GRCh38_ENSG00000117614,-0.4302871263954971
GRCh38_ENSG00000284602,-1.7976647279767164
GRCh38_ENSG00000117616,1.031721756524946
GRCh38_ENSG00000272432,0.9105784992852862
GRCh38_ENSG00000187010,NaN
GRCh38_ENSG00000183726,1.5549334485319097
GRCh38_ENSG00000188672,-0.7437649395180765
GRCh38_ENSG00000204178,-0.7756513509533437
GRCh38_ENSG00000157978,13.9380356937377
GRCh38_ENSG00000225643,-1.7097995922328215
GRCh38_ENSG00000117643,-1.6505433481401233
GRCh38_ENSG00000162430,-1.4107924849497042
GRCh38_ENSG00000228172,-0.022338721348362636
GRCh38_ENSG00000117640,3.7753348410088234
GRCh38_ENSG00000127423,0.6599354429317149
GRCh38_ENSG00000182749,-1.609082838153999
GRCh38_ENSG00000117632,3.2491852293328765
GRCh38_ENSG00000158006,0.31749193303536105
GRCh38_ENSG00000158022,-1.1118074909715465
GRCh38_ENSG00000175087,1.9975417272500793
GRCh38_ENSG00000197245,-0.4787499012849592
GRCh38_ENSG00000236782,NaN
GRCh38_ENSG00000142684,-1.1605671336676489
GRCh38_ENSG00000142675,-0.1689968612313688
GRCh38_ENSG00000188782,NaN
GRCh38_ENSG00000130695,-0.7987279104685666
GRCh38_ENSG00000142669,-0.32736508546858634
GRCh38_ENSG00000158062,-1.0569689527925248
GRCh38_ENSG00000169442,16.186644221247413
GRCh38_ENSG00000176092,-1.5629752957018241
GRCh38_ENSG00000176083,0.15647899607818772
GRCh38_ENSG00000117682,2.0149050946029337
GRCh38_ENSG00000225891,NaN
GRCh38_ENSG00000198830,0.2966047927891922
GRCh38_ENSG00000117676,-0.8409936866082292
GRCh38_ENSG00000260063,-0.7724041146633143
GRCh38_ENSG00000117713,1.9330327220141326
GRCh38_ENSG00000060642,-1.226484285191798
GRCh38_ENSG00000204160,0.8525393899173715
GRCh38_ENSG00000175793,-1.6757891165279382
GRCh38_ENSG00000142751,-1.1509918282784843
GRCh38_ENSG00000198746,-1.3786678995172243
GRCh38_ENSG00000090273,-0.2365674708332333
GRCh38_ENSG00000175707,-1.4149224996657885
GRCh38_ENSG00000253368,-0.868803294723153
GRCh38_ENSG00000158246,0.6842540083499017
GRCh38_ENSG00000090020,-0.5229260883844318
GRCh38_ENSG00000142784,-0.9213615931123915
GRCh38_ENSG00000186501,-1.8438818785344817
GRCh38_ENSG00000142765,0.754265027455963
GRCh38_ENSG00000142733,-0.6129295474948292
GRCh38_ENSG00000142748,-0.1989529598151204
GRCh38_ENSG00000174950,-2.027796687363156
GRCh38_ENSG00000181773,0.5260459958865037
GRCh38_ENSG00000158195,3.653734917371184
GRCh38_ENSG00000126705,-0.6089415617535995
GRCh38_ENSG00000000938,-0.11222050144370331
GRCh38_ENSG00000233975,0.46737815539117716
GRCh38_ENSG00000126709,-0.9707262677084117
GRCh38_ENSG00000287244,NaN
GRCh38_ENSG00000009780,-0.2055469801149209
GRCh38_ENSG00000117758,0.011814458475998942
